,Type,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
2871,Corolla,Toyota,Automatic,Saudi,Standard,2017,1.6,110000,45000
2875,Pajero,Mitsubishi,Automatic,Saudi,Standard,2012,3.5,78276,41500
2878,Tahoe,Chevrolet,Automatic,Saudi,Standard,2007,5.3,374000,32000
2879,6,Mazda,Automatic,Saudi,Standard,2016,2.5,88350,50000
2880,Sonata,Hyundai,Automatic,Other,Semi Full,2017,1.7,82190,63000
2882,Land Cruiser,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,50000,188500
2883,Expedition,Ford,Automatic,Saudi,Standard,2009,5.4,318500,24500
2885,Explorer,Ford,Automatic,Saudi,Standard,2012,3.5,336000,35000
2888,Tahoe,Chevrolet,Automatic,Saudi,Standard,2011,5.3,143000,55000
2891,Compass,Jeep,Automatic,Saudi,Standard,2016,2.4,96213,38500
2893,Optima,Kia,Automatic,Saudi,Semi Full,2016,2.4,233124,51500
2894,Land Cruiser,Toyota,Automatic,Saudi,Semi Full,2015,4.0,212000,145000
2895,Terrain,GMC,Automatic,Saudi,Standard,2016,2.4,151000,45000
2897,Hilux,Toyota,Manual,Saudi,Full,2019,2.7,122,75000
2898,Range Rover,Land Rover,Automatic,Saudi,Full,2006,4.4,289000,20000
2900,Sonata,Hyundai,Automatic,Saudi,Semi Full,2016,2.4,305000,45000
2901,Sonata,Hyundai,Automatic,Saudi,Full,2017,1.6,240000,45000
2903,GS3,Others,Automatic,Gulf Arabic,Semi Full,2021,1.3,9000,46000
2904,Creta,Hyundai,Automatic,Saudi,Standard,2019,1.6,24516,56500
2910,Land Cruiser,Toyota,Manual,Gulf Arabic,Full,2016,4.0,220000,130000
2913,Explorer,Ford,Automatic,Saudi,Semi Full,2014,3.5,168322,60000
2914,Sunny,Nissan,Automatic,Gulf Arabic,Standard,2019,1.5,92300,29000
2915,KICKS,Nissan,Automatic,Saudi,Standard,2020,1.5,3990,67000
2916,S300,Chrysler,Automatic,Other,Full,2011,1.3,140000,23000
2917,Furniture,Toyota,Automatic,Saudi,Standard,2019,2.7,113000,105000
2918,5008,Others,Automatic,Saudi,Semi Full,2018,1.6,34000,85000
2919,Blazer,Chevrolet,Automatic,Gulf Arabic,Full,2005,3.6,150000,14000
2920,Tiguan,Volkswagen,Automatic,Saudi,Full,2019,2.0,60000,114000
2923,Hilux,Toyota,Automatic,Saudi,Full,2018,2.7,218000,78000
2925,Corolla,Toyota,Automatic,Saudi,Standard,2018,1.6,52000,51000
2926,Prado,Toyota,Automatic,Gulf Arabic,Full,2016,3.8,168000,109500
2928,H1,Hyundai,Automatic,Saudi,Semi Full,2016,2.4,179000,45000
2929,Yukon,GMC,Automatic,Other,Full,2016,4.5,158000,152000
2930,Elantra,Hyundai,Automatic,Saudi,Standard,2016,2.0,119000,33000
2933,Fusion,Ford,Automatic,Gulf Arabic,Standard,2016,2.5,81000,46000
2934,X,BMW,Automatic,Saudi,Full,2009,3.0,180000,35000
2935,Rav4,Toyota,Automatic,Saudi,Semi Full,2017,2.5,162000,60000
2936,ES,Lexus,Automatic,Other,Full,2017,3.5,101000,119000
2937,Sentra,Nissan,Automatic,Saudi,Standard,2016,1.6,81000,38000
2938,Rio,Kia,Automatic,Saudi,Standard,2014,1.4,78000,24000
2939,Camry,Toyota,Automatic,Saudi,Full,2021,2.5,555,119000
2943,Impala,Chevrolet,Automatic,Gulf Arabic,Semi Full,2019,3.6,85000,73000
2944,Accent,Hyundai,Automatic,Saudi,Standard,2019,1.4,91000,32000
2946,Silverado,Chevrolet,Automatic,Saudi,Standard,2018,4.3,70000,77000
2947,Tahoe,Chevrolet,Automatic,Other,Semi Full,2007,5.3,228400,39000
2948,Furniture,Toyota,Automatic,Saudi,Standard,2011,2.7,325,32000
2949,Sonata,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,90000,57000
2950,Golf,Volkswagen,Automatic,Gulf Arabic,Full,2016,2.0,111000,65000
2953,Camry,Toyota,Automatic,Saudi,Standard,2018,2.5,85000,75000
2955,Taurus,Ford,Automatic,Other,Full,2015,3.5,122000,69000
2956,Tahoe,Chevrolet,Automatic,Saudi,Full,2014,5.7,205000,70000
2961,Yukon,GMC,Automatic,Saudi,Standard,2005,5.3,409000,20000
2962,6,Mazda,Automatic,Saudi,Standard,2018,2.5,68263,66500
2965,Senta fe,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,212000,57000
2966,Land Cruiser,Toyota,Automatic,Gulf Arabic,Semi Full,2015,4.6,248000,135000
2969,IS,Lexus,Automatic,Saudi,Semi Full,2018,3.5,131,166000
2970,Flex,Ford,Automatic,Gulf Arabic,Standard,2017,2.5,110000,67000
2972,Accord,Honda,Automatic,Saudi,Semi Full,2013,2.4,250920,55000
2974,Sonata,Hyundai,Automatic,Saudi,Full,2013,2.6,280,25000
2975,CS95,Changan,Automatic,Saudi,Full,2019,2.0,47000,77000
2976,ES,Lexus,Automatic,Gulf Arabic,Full,2018,3.5,128000,93500
2977,Sierra,GMC,Automatic,Gulf Arabic,Semi Full,2006,5.3,283000,29000
2982,Tahoe,Chevrolet,Automatic,Other,Full,2015,5.3,193000,118000
2985,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,250385,47500
2987,Rio,Kia,Manual,Saudi,Standard,2008,1.0,323880,9000
2988,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.6,137000,29000
2990,Odyssey,Honda,Automatic,Saudi,Standard,2010,4.6,200000,22000
2991,Sonata,Hyundai,Automatic,Saudi,Semi Full,2007,2.4,255559,15000
2995,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,93788,29000
3000,Accord,Honda,Automatic,Saudi,Semi Full,2018,1.6,32000,97000
3002,Pajero,Mitsubishi,Automatic,Saudi,Semi Full,2015,3.5,99000,55000
3003,Expedition,Ford,Automatic,Saudi,Standard,2013,5.4,235000,50000
3005,S5,Audi,Automatic,Saudi,Full,2018,3.0,79800,160000
3007,Sunny,Nissan,Automatic,Gulf Arabic,Standard,2016,1.5,158000,23000
3008,Yaris,Toyota,Automatic,Saudi,Standard,2017,1.5,133000,29000
3009,ES,Lexus,Automatic,Gulf Arabic,Full,2018,2.4,20000,126000
3010,FJ,Toyota,Automatic,Saudi,Full,2017,7.5,138000,118000
3012,Yukon,GMC,Automatic,Other,Full,2016,5.3,213000,146000
3014,Accent,Hyundai,Automatic,Saudi,Standard,2019,1.4,78000,40000
3015,Camry,Toyota,Automatic,Saudi,Full,2020,2.5,22000,77000
3023,Sierra,GMC,Automatic,Other,Full,2014,5.3,235,72000
3024,Optima,Kia,Automatic,Gulf Arabic,Full,2014,2.4,200,45000
3025,Sentra,Nissan,Automatic,Gulf Arabic,Standard,2018,1.6,97000,39000
3028,Accent,Hyundai,Automatic,Saudi,Standard,2019,1.4,39750,40000
3029,ML,Mercedes,Automatic,Saudi,Full,2000,3.3,111744,18000
3030,F150,Ford,Automatic,Gulf Arabic,Semi Full,2016,5.0,115000,93000
3032,Suburban,GMC,Automatic,Saudi,Semi Full,2004,5.3,135000,18500
3033,Land Cruiser,Toyota,Automatic,Saudi,Full,2015,4.0,92000,165000
3034,Elantra,Hyundai,Automatic,Saudi,Full,2020,2.0,44000,61000
3035,ES,Lexus,Automatic,Saudi,Standard,2009,3.6,300000,43000
3037,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,31000,35000
3038,Corolla,Toyota,Automatic,Saudi,Standard,2020,1.6,109885,57000
3040,S,Mercedes,Automatic,Saudi,Full,2011,3.0,189,100000
3042,Hilux,Toyota,Manual,Saudi,Full,2015,2.7,234000,56000
3043,Sorento,Kia,Automatic,Saudi,Full,2015,3.5,116731,52000
3045,Datsun,Nissan,Manual,Saudi,Semi Full,2016,2.4,39000,52000
3046,Pathfinder,Nissan,Automatic,Saudi,Semi Full,2013,3.5,127000,38000
3047,Rav4,Toyota,Automatic,Saudi,Full,2016,2.0,216000,60000
3048,M,Others,Automatic,Saudi,Full,2007,4.5,303000,10000
3051,Datsun,Nissan,Manual,Saudi,Full,2015,2.4,28000,48000
3052,Expedition,Ford,Automatic,Saudi,Semi Full,2003,5.4,400000,5000
3054,Escalade,Cadillac,Automatic,Saudi,Full,2009,6.2,219000,50000
3055,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,69000,34000
3056,Furniture,Toyota,Automatic,Saudi,Standard,2013,2.7,350000,50000
3057,Corolla,Toyota,Automatic,Saudi,Standard,2018,1.6,90084,50000
3059,6,Mazda,Automatic,Saudi,Full,2019,2.5,50000,90000
3060,Camry,Toyota,Manual,Other,Standard,2002,2.4,450000,14000
3061,Tahoe,Chevrolet,Automatic,Saudi,Standard,2012,5.3,297000,52000
3063,Range Rover,Land Rover,Automatic,Saudi,Semi Full,2015,3.0,125000,165000
3064,C,Mercedes,Automatic,Saudi,Full,2014,1.8,148925,79500
3065,Accent,Hyundai,Automatic,Saudi,Standard,2019,1.4,102113,39500
3067,Cadenza,Kia,Automatic,Saudi,Standard,2016,3.5,130000,56000
3070,Caprice,Chevrolet,Automatic,Saudi,Standard,2013,6.0,313000,35000
3073,Corolla,Toyota,Automatic,Saudi,Standard,2018,1.6,103966,43500
3074,Camry,Toyota,Automatic,Gulf Arabic,Standard,2016,2.5,73000,61000
3075,Pajero,Mitsubishi,Automatic,Saudi,Semi Full,2016,3.5,193000,45000
3076,Corolla,Toyota,Automatic,Saudi,Standard,2018,2.0,245000,41000
3078,Accord,Honda,Automatic,Gulf Arabic,Semi Full,2016,2.4,80000,69000
3088,X,BMW,Automatic,Gulf Arabic,Full,2016,4.4,130341,161500
3089,Yukon,GMC,Automatic,Other,Semi Full,2002,5.3,300000,10000
3091,Elantra,Hyundai,Automatic,Saudi,Standard,2019,1.6,91959,48500
3092,Ciocca,Toyota,Automatic,Saudi,Semi Full,2016,5.7,117000,140000
3094,Caprice,Chevrolet,Automatic,Saudi,Standard,2013,6.0,124628,75000
3095,Pajero,Mitsubishi,Automatic,Saudi,Semi Full,2017,3.5,159000,55000
3099,Hilux,Toyota,Manual,Saudi,Standard,2016,2.7,155000,75000
3100,Daily,Others,Manual,Saudi,Standard,2018,3.0,116000,92000
3101,Malibu,Chevrolet,Automatic,Saudi,Semi Full,2017,2.5,176000,49000
3103,Tahoe,Chevrolet,Automatic,Saudi,Standard,2017,5.3,136517,107000
3104,Yukon,GMC,Automatic,Saudi,Full,2013,5.3,206000,90000
3108,Yukon,GMC,Automatic,Saudi,Full,2008,5.3,382000,45000
3109,Sonata,Hyundai,Automatic,Saudi,Full,2018,2.4,135000,58000
3110,Terrain,GMC,Automatic,Saudi,Semi Full,2013,2.4,90000,35000
3117,Nitro,Dodge,Automatic,Saudi,Full,2011,3.7,230000,17000
3118,Yaris,Toyota,Automatic,Saudi,Standard,2019,1.5,70000,39000
3120,LS,Lexus,Automatic,Saudi,Full,2012,1.8,150000,95000
3121,Innova,Toyota,Automatic,Gulf Arabic,Full,2016,2.7,190000,65000
3122,CX9,Mazda,Automatic,Saudi,Full,2015,2.5,115000,82000
3123,Pilot,Honda,Automatic,Saudi,Semi Full,2016,1.6,103000,85000
3124,ES,Lexus,Automatic,Saudi,Standard,2021,2.5,13500,172500
3127,LX,Lexus,Automatic,Saudi,Full,2014,5.7,342,150000
3130,Land Cruiser,Toyota,Automatic,Gulf Arabic,Semi Full,2001,4.6,390000,35000
3132,Innova,Toyota,Automatic,Saudi,Full,2017,2.7,130000,67000
3133,Yukon,GMC,Automatic,Saudi,Standard,2011,8.0,320000,50000
3134,Yukon,GMC,Automatic,Saudi,Full,2014,6.2,36000,95000
3135,Victoria,Ford,Automatic,Saudi,Standard,2002,4.6,368000,10000
3136,Odyssey,Honda,Automatic,Gulf Arabic,Standard,2016,2.4,87000,65000
3137,Camry,Toyota,Manual,Saudi,Full,2010,2.4,390000,20000
3138,Avalon,Toyota,Automatic,Saudi,Standard,2015,3.5,249539,77500
3141,Patrol,Nissan,Automatic,Saudi,Semi Full,2014,5.6,200000,105000
3146,RX,Lexus,Automatic,Saudi,Full,2015,3.5,49000,123000
3147,RX,Lexus,Automatic,Saudi,Full,2016,3.5,104000,148000
3148,Wrangler,Jeep,Automatic,Gulf Arabic,Full,2017,3.6,42000,110000
3149,Sonata,Hyundai,Automatic,Saudi,Semi Full,2019,2.4,78000,62000
3150,Prado,Toyota,Automatic,Saudi,Semi Full,2016,4.0,97000,119000
3152,Accent,Hyundai,Automatic,Saudi,Semi Full,2018,1.4,95000,41000
3155,XJ,Others,Automatic,Saudi,Full,2015,3.0,57000,180000
3158,Accord,Honda,Automatic,Saudi,Full,2016,3.5,183000,67000
3159,CS75,Changan,Automatic,Saudi,Full,2019,1.8,83425,51500
3160,Camry,Toyota,Automatic,Gulf Arabic,Standard,2020,2.5,4443,84500
3162,Senta fe,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,255000,51000
3163,3,Mazda,Automatic,Gulf Arabic,Standard,2016,1.6,165000,45000
3164,G80,Genesis,Automatic,Saudi,Semi Full,2018,3.8,127000,93000
3165,Innova,Toyota,Automatic,Saudi,Full,2015,2.7,195000,52000
3166,G80,Genesis,Automatic,Saudi,Semi Full,2016,3.8,165061,85500
3167,Accent,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,103000,31000
3169,Explorer,Ford,Automatic,Saudi,Standard,2010,6.0,244,17500
3172,Mohave,Kia,Automatic,Saudi,Full,2014,3.8,200350,40000
3174,Camry,Toyota,Automatic,Saudi,Standard,2019,2.5,124004,65000
3178,ES,Lexus,Automatic,Saudi,Full,2019,2.5,62000,195000
3179,Azera,Hyundai,Automatic,Saudi,Full,2015,3.0,272783,36000
3180,X,BMW,Automatic,Saudi,Full,2015,3.0,98000,150000
3181,Expedition,Ford,Automatic,Saudi,Semi Full,2016,5.4,109000,72000
3186,Elantra,Hyundai,Manual,Other,Semi Full,2011,2.0,290,12000
3187,Avalon,Toyota,Automatic,Saudi,Standard,2019,3.5,47000,116000
3189,Taurus,Ford,Automatic,Other,Full,2015,3.5,112000,81000
3190,Prado,Toyota,Automatic,Saudi,Semi Full,2020,4.0,17000,173000
3191,The 7,BMW,Automatic,Saudi,Full,2003,2.0,106000,34000
3192,Passat,Volkswagen,Automatic,Saudi,Semi Full,2012,2.5,216000,22000
3194,Camaro,Chevrolet,Automatic,Other,Full,2018,3.6,118000,119000
3195,Rav4,Toyota,Automatic,Saudi,Standard,2012,2.5,234000,30000
3197,Cerato,Kia,Automatic,Saudi,Semi Full,2015,1.6,190000,33000
3198,KICKS,Nissan,Automatic,Saudi,Semi Full,2020,1.6,200,66000
3199,S,Mercedes,Automatic,Other,Semi Full,2007,3.0,200000,75000
3204,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,200000,55000
3206,Hilux,Toyota,Automatic,Saudi,Full,2021,2.4,4000,158500
3208,Expedition,Ford,Automatic,Other,Full,2007,3.0,423000,29000
3209,Furniture,Toyota,Automatic,Unknown,Semi Full,2017,2.7,70000,75000
3210,Marquis,Ford,Automatic,Saudi,Semi Full,2008,4.6,380000,15000
3211,Sonata,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,72000,65000
3213,Range Rover,Land Rover,Automatic,Saudi,Full,2010,5.0,188000,62000
3214,Impala,Chevrolet,Automatic,Gulf Arabic,Standard,2016,3.5,114000,65000
3215,Cruze,Chevrolet,Automatic,Saudi,Semi Full,2014,1.8,135020,24000
3216,Corolla,Toyota,Automatic,Saudi,Full,2015,1.6,90000,45000
3217,Sonata,Hyundai,Automatic,Saudi,Full,2019,2.4,5400,78000
3218,Avalon,Toyota,Automatic,Saudi,Full,2020,3.5,33000,164000
3219,Malibu,Chevrolet,Automatic,Saudi,Standard,2018,2.0,135000,46500
3221,Sunny,Nissan,Automatic,Saudi,Standard,2018,1.5,99000,26000
3223,C,Mercedes,Automatic,Gulf Arabic,Full,2016,2.0,129000,134000
3224,Sportage,Kia,Automatic,Saudi,Standard,2019,1.6,69358,60500
3225,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.6,120000,30000
3226,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2020,5.7,99000,145000
3228,Yukon,GMC,Automatic,Saudi,Full,2014,5.3,327000,77000
3230,Elantra,Hyundai,Automatic,Other,Standard,2016,1.6,55000,48000
3232,Mini Van,Others,Manual,Gulf Arabic,Standard,2017,2.7,145000,39500
3233,Expedition,Ford,Automatic,Saudi,Semi Full,2014,5.4,150000,52000
3234,Tucson,Hyundai,Automatic,Saudi,Standard,2018,2.0,120000,62000
3236,Camry,Toyota,Automatic,Unknown,Standard,2010,2.5,400000,22000
3239,Escalade,Cadillac,Automatic,Other,Semi Full,2007,8.0,166000,48000
3243,Avalon,Toyota,Automatic,Saudi,Full,2012,3.5,225000,75000
3244,Land Cruiser,Toyota,Automatic,Saudi,Full,2012,8.0,228000,112000
3245,Sorento,Kia,Automatic,Saudi,Full,2015,3.8,167160,43000
3247,Hiace,Toyota,Manual,Saudi,Standard,2015,2.7,178000,60000
3248,Tucson,Hyundai,Automatic,Saudi,Semi Full,2016,2.0,200000,39000
3249,300,Chrysler,Automatic,Other,Full,2014,5.7,188000,57000
3250,GL,Mercedes,Automatic,Saudi,Full,2014,4.6,139000,135000
3252,Mustang,Ford,Automatic,Saudi,Full,2007,4.6,195,27000
3255,Taurus,Ford,Automatic,Other,Semi Full,2017,3.5,61000,73000
3256,Sonata,Hyundai,Automatic,Saudi,Semi Full,2020,2.5,22000,85000
3257,VTC,Nissan,Manual,Saudi,Standard,2015,4.8,340000,49000
3260,Silverado,Chevrolet,Automatic,Gulf Arabic,Full,2019,5.3,77000,185000
3261,Expedition,Ford,Automatic,Saudi,Standard,2016,3.5,103000,83000
3263,FJ,Toyota,Automatic,Saudi,Semi Full,2015,4.0,110000,115000
3265,Grand Cherokee,Jeep,Automatic,Other,Full,2011,5.7,266000,36000
3266,Hilux,Toyota,Manual,Gulf Arabic,Semi Full,2020,2.7,15000,105000
3269,Senta fe,Hyundai,Automatic,Saudi,Full,2015,3.3,246000,60000
3270,Land Cruiser,Toyota,Automatic,Saudi,Full,2011,4.6,434,85000
3271,IS,Lexus,Automatic,Other,Full,2015,3.5,132000,106000
3272,Elantra,Hyundai,Automatic,Saudi,Standard,2018,1.6,144000,45000
3273,Land Cruiser,Toyota,Automatic,Saudi,Full,2015,4.7,137000,150000
3276,Camry,Toyota,Automatic,Saudi,Standard,2017,2.5,380000,43000
3277,Elantra,Hyundai,Automatic,Saudi,Full,2016,2.0,4000,48000
3278,Grand Cherokee,Jeep,Automatic,Saudi,Standard,2014,5.7,233000,50000
3281,Sunny,Nissan,Automatic,Saudi,Standard,2019,1.5,89000,29000
3283,Innova,Toyota,Automatic,Saudi,Semi Full,2016,2.7,179600,51000
3284,Hilux,Toyota,Manual,Gulf Arabic,Standard,2016,2.7,97173,64000
3289,Yukon,GMC,Automatic,Saudi,Semi Full,2007,5.3,359000,38000
3290,CX9,Mazda,Automatic,Saudi,Full,2015,3.7,217162,68500
3291,Furniture,Toyota,Automatic,Saudi,Full,2019,3.5,40000,120000
3293,Previa,Toyota,Automatic,Other,Standard,2009,1.7,400000,15000
3296,Accord,Honda,Automatic,Gulf Arabic,Full,2019,1.5,8200,107000
3297,Camry,Toyota,Automatic,Saudi,Full,2017,2.5,253641,62000
3300,Sonata,Hyundai,Automatic,Saudi,Standard,2019,2.4,70676,59500
3301,VTC,Nissan,Manual,Saudi,Semi Full,2000,4.8,490000,30000
3302,GS,Lexus,Automatic,Gulf Arabic,Semi Full,2019,3.5,62000,170000
3304,Camry,Toyota,Automatic,Saudi,Full,2017,2.5,167000,80000
3305,Suburban,GMC,Automatic,Saudi,Semi Full,2000,6.0,128000,80000
3308,Innova,Toyota,Automatic,Saudi,Semi Full,2018,2.0,99000,64000
3311,S300,Chrysler,Automatic,Other,Semi Full,2015,3.6,106000,75000
3312,RX8,MG,Automatic,Saudi,Full,2021,2.0,4000,105000
3313,Camry,Toyota,Automatic,Saudi,Semi Full,2006,2.4,240000,20000
3314,Tahoe,Chevrolet,Automatic,Saudi,Full,2010,5.3,250000,55000
3317,Cadenza,Kia,Automatic,Saudi,Semi Full,2021,3.5,32031,111500
3318,Echo Sport,Ford,Automatic,Saudi,Standard,2016,1.5,217000,25000
3320,Datsun,Nissan,Manual,Saudi,Standard,2015,1.9,142000,39000
3321,Elantra,Hyundai,Automatic,Saudi,Semi Full,2016,2.0,280,33000
3322,Mustang,Ford,Automatic,Other,Full,2016,2.3,84000,97000
3323,Azera,Hyundai,Automatic,Saudi,Full,2018,3.5,50000,85000
3326,Impala,Chevrolet,Automatic,Saudi,Standard,2018,3.6,110519,58500
3328,Land Cruiser 70,Toyota,Manual,Saudi,Full,2019,4.0,26000,130000
3329,3,MG,Manual,Saudi,Standard,2013,1.3,41000,15000
3330,Grand Cherokee,Jeep,Automatic,Saudi,Semi Full,2014,5.7,175000,70000
3337,Gran Max,Others,Manual,Saudi,Standard,2014,1.5,254000,25000
3340,Furniture,Toyota,Automatic,Saudi,Standard,2014,2.7,127000,57000
3341,Camry,Toyota,Automatic,Saudi,Standard,2010,2.4,255,33500
3344,Land Cruiser 70,Toyota,Manual,Gulf Arabic,Semi Full,2016,4.0,177000,90000
3345,Camry,Toyota,Automatic,Saudi,Full,2016,2.5,300000,50000
3346,Yukon,GMC,Automatic,Saudi,Full,2007,4.7,300000,35000
3348,Pegas,Kia,Automatic,Saudi,Standard,2020,1.4,5300,37500
3349,FJ,Toyota,Automatic,Saudi,Full,2015,1.0,190000,98000
3350,Cayenne,Others,Automatic,Saudi,Standard,2016,3.6,121,160000
3352,Camry,Toyota,Manual,Saudi,Full,2008,2.4,360000,19000
3353,Cores,Kia,Automatic,Saudi,Full,2014,3.5,81000,78000
3354,Hilux,Toyota,Manual,Saudi,Standard,2015,2.7,300000,75000
3356,Traverse,Chevrolet,Automatic,Saudi,Standard,2010,3.6,219,22000
3359,Grand Vitara,Others,Manual,Saudi,Semi Full,2013,2.0,16000,35000
3360,FX,Others,Automatic,Gulf Arabic,Full,2012,5.3,235000,59500
3361,Attrage,Mitsubishi,Automatic,Saudi,Semi Full,2021,1.2,3000,35000
3363,Expedition,Ford,Automatic,Saudi,Semi Full,2012,2.1,215000,25500
3364,Patrol,Nissan,Manual,Gulf Arabic,Standard,2013,4.0,200,80000
3366,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,102000,27500
3367,Charger,Dodge,Automatic,Gulf Arabic,Standard,2021,3.5,1700,110000
3368,Sentra,Nissan,Automatic,Saudi,Standard,2018,1.6,64000,36500
3369,Accent,Hyundai,Automatic,Saudi,Standard,2019,1.4,72000,36500
3372,Hilux,Toyota,Manual,Saudi,Semi Full,2009,2.7,426000,32000
3373,A8,Audi,Automatic,Other,Full,2015,3.0,9400,110000
3374,Yaris,Toyota,Automatic,Saudi,Semi Full,2016,1.5,155000,32000
3375,Tucson,Hyundai,Automatic,Saudi,Semi Full,2016,2.0,157000,50000
3376,L300,Mitsubishi,Manual,Saudi,Standard,2014,2.0,120000,23000
3377,Range Rover,Land Rover,Automatic,Saudi,Full,2009,5.0,214000,85000
3379,H1,Hyundai,Automatic,Saudi,Semi Full,2015,2.4,131000,42000
3380,Patrol,Nissan,Manual,Saudi,Standard,2006,4.0,106000,37000
3383,Aveo,Chevrolet,Automatic,Saudi,Standard,2017,1.5,118000,20000
3384,Camry,Toyota,Manual,Saudi,Standard,2001,2.5,439000,12000
3386,Camry,Toyota,Automatic,Saudi,Standard,2017,2.5,190144,54000
3388,CLS,Mercedes,Automatic,Saudi,Full,2014,3.5,88000,110000
3389,A6,Audi,Automatic,Saudi,Semi Full,2018,3.0,92000,88000
3390,Carnival,Kia,Automatic,Saudi,Semi Full,2016,3.3,243000,46000
3393,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,69000,35000
3394,Hilux,Toyota,Manual,Gulf Arabic,Semi Full,2020,2.7,27000,104500
3395,Land Cruiser,Toyota,Automatic,Saudi,Full,2011,4.7,140000,110000
3396,GL,Mercedes,Automatic,Saudi,Full,2015,5.0,32000,183000
3399,Accent,Hyundai,Manual,Saudi,Semi Full,2010,1.2,198,12000
3400,D-MAX,Isuzu,Manual,Saudi,Standard,2018,2.5,39000,72000
3401,Yaris,Toyota,Automatic,Saudi,Standard,2018,1.5,62000,35000
3402,Accent,Hyundai,Automatic,Saudi,Standard,2019,1.4,93239,40500
3405,Charger,Dodge,Automatic,Saudi,Standard,2015,3.6,54300,63000
3406,Explorer,Ford,Automatic,Other,Full,2013,3.5,111251,74000
3407,Hilux,Toyota,Manual,Saudi,Full,2013,2.7,186,70000
3408,Carnival,Kia,Automatic,Gulf Arabic,Semi Full,2017,3.8,77000,58000
3410,Expedition,Ford,Automatic,Gulf Arabic,Semi Full,2014,5.4,204000,45000
3413,Patrol,Nissan,Automatic,Saudi,Full,2015,5.6,228000,130000
3414,Pathfinder,Nissan,Automatic,Saudi,Standard,2014,3.5,24000,50000
3415,Coaster,Toyota,Manual,Saudi,Standard,2014,3.0,195000,75000
3416,Taurus,Ford,Automatic,Saudi,Full,2015,6.3,113220,82500
3417,Tahoe,Chevrolet,Automatic,Saudi,Full,2012,5.3,281,65000
3418,Accord,Honda,Automatic,Saudi,Full,2012,3.5,225000,32000
3419,Hilux,Toyota,Manual,Gulf Arabic,Semi Full,2017,2.7,18000,77000
3421,Land Cruiser,Toyota,Manual,Saudi,Full,2003,4.6,395735,55000
3422,Optima,Kia,Automatic,Saudi,Semi Full,2015,2.4,173588,36500
3423,Duster,Renault,Automatic,Saudi,Standard,2016,2.0,157000,18000
3424,LX,Lexus,Automatic,Saudi,Full,2012,5.7,309,150000
3425,Hilux,Toyota,Manual,Gulf Arabic,Full,2014,2.4,290000,40000
3426,Cruze,Chevrolet,Automatic,Other,Full,2016,1.6,136000,25000
3429,The 7,BMW,Automatic,Gulf Arabic,Full,2017,1.4,90000,165000
3430,Yukon,GMC,Automatic,Saudi,Full,2016,6.2,152000,122000
3431,Sonata,Hyundai,Automatic,Saudi,Standard,2019,2.4,49000,65000
3432,Traverse,Chevrolet,Automatic,Unknown,Standard,2014,3.6,195000,42000
3436,Victoria,Ford,Automatic,Other,Semi Full,2011,4.6,150000,38000
3437,Avalon,Toyota,Automatic,Saudi,Full,2011,3.5,150000,58000
3438,The 7,BMW,Automatic,Gulf Arabic,Full,2017,2.0,87000,175000
3440,Corolla,Toyota,Automatic,Saudi,Standard,2017,1.6,110,46000
3441,Optima,Kia,Automatic,Saudi,Semi Full,2016,2.4,190000,42000
3442,Prado,Toyota,Automatic,Gulf Arabic,Full,2017,4.0,140000,125000
3443,Expedition,Ford,Automatic,Saudi,Standard,2013,5.4,145000,38000
3446,RX5,MG,Automatic,Saudi,Full,2020,2.0,7855,65500
3447,Suburban,Chevrolet,Automatic,Other,Semi Full,2001,5.3,500000,15000
3448,Camry,Toyota,Automatic,Saudi,Standard,2017,2.5,109862,59500
3450,Taurus,Ford,Automatic,Saudi,Standard,2018,2.0,78508,65000
3452,Blazer,Chevrolet,Automatic,Saudi,Standard,2006,3.6,457000,10000
3454,Montero2,Others,Automatic,Saudi,Semi Full,2006,6.0,394360,15000
3455,Impala,Chevrolet,Automatic,Saudi,Semi Full,2015,3.6,145462,55000
3457,GS,Lexus,Automatic,Saudi,Semi Full,2013,3.5,287000,85000
3458,Datsun,Nissan,Automatic,Saudi,Semi Full,2016,2.7,109766,50500
3460,Camry,Toyota,Manual,Saudi,Full,2001,4.0,350000,25000
3462,Taurus,Ford,Automatic,Saudi,Standard,2018,3.5,65000,76000
3465,Camry,Toyota,Automatic,Saudi,Full,2018,3.5,80000,95000
3467,Odyssey,Honda,Automatic,Saudi,Standard,2015,3.5,192000,58000
