,Type,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
1051,Elantra,Hyundai,Automatic,Saudi,Standard,2017,1.6,131889,36500
1052,Azera,Hyundai,Automatic,Saudi,Semi Full,2016,3.0,199100,52000
1053,Camry,Toyota,Automatic,Saudi,Full,2007,2.5,420,30000
1055,Victoria,Ford,Automatic,Other,Full,2003,4.6,500,13000
1057,F150,Ford,Automatic,Saudi,Standard,2014,8.0,147000,80000
1058,6,Mazda,Automatic,Gulf Arabic,Semi Full,2014,2.5,149000,45000
1059,C200,Chrysler,Automatic,Saudi,Full,2016,2.4,163000,42000
1061,Attrage,Mitsubishi,Automatic,Saudi,Standard,2019,1.2,19000,32000
1062,Tahoe,Chevrolet,Automatic,Saudi,Standard,2012,5.3,61000,80000
1063,C300,Chrysler,Automatic,Other,Full,2008,5.7,114000,20000
1064,Traverse,Chevrolet,Automatic,Saudi,Standard,2011,3.6,138000,24000
1065,Accent,Hyundai,Automatic,Saudi,Standard,2019,1.4,72500,40000
1067,Land Cruiser,Toyota,Automatic,Saudi,Full,2014,5.7,175023,150000
1068,Durango,Dodge,Automatic,Saudi,Full,2012,5.7,288000,43000
1069,Land Cruiser,Toyota,Automatic,Saudi,Full,2009,5.7,470000,76000
1070,H1,Hyundai,Manual,Saudi,Full,2008,2.4,1000,17000
1072,Accent,Hyundai,Automatic,Gulf Arabic,Semi Full,2015,1.6,230000,28000
1075,Charger,Dodge,Automatic,Saudi,Full,2019,3.6,78000,124000
1077,Camry,Toyota,Automatic,Saudi,Full,2019,3.5,86000,110000
1079,Navara,Nissan,Manual,Saudi,Standard,2016,2.4,204000,42000
1081,LX,Lexus,Automatic,Saudi,Semi Full,2015,5.7,100000,195000
1083,S,Mercedes,Automatic,Other,Full,2008,3.0,256000,38000
1084,Rio,Kia,Automatic,Saudi,Standard,2014,1.6,141000,22000
1085,Previa,Toyota,Automatic,Gulf Arabic,Standard,2017,2.4,139000,62000
1086,Rush,Toyota,Automatic,Saudi,Full,2019,1.5,40000,57000
1088,Impala,Chevrolet,Automatic,Saudi,Standard,2018,3.6,63118,73500
1089,Expedition,Ford,Automatic,Saudi,Standard,2016,5.4,120000,72000
